asset_id,family,review_use,panel_structure,required_evidence,claim_boundary,caption_pattern,source_learning_basis
review-framework-map,review-taxonomy-map,small review opening figure,materials | mechanisms | performance | durability | gaps,literature scope; inclusion criteria; key review themes,template only; organizes scope but does not prove superiority,Framework linking material systems to mechanisms; performance indicators; durability challenges; and research gaps,local caption family frequency: review-taxonomy-map=15; sanitized pattern only
material-mechanism-performance-challenges,review-taxonomy-map,small review synthesis,material families | modification mechanisms | performance outcomes | unresolved challenges,source-grounded classification; representative citations; explicit scope,template only; classification depends on searched literature boundary,Taxonomy of modified emulsified asphalt research across materials; mechanisms; properties; and challenges,local caption family frequency: review-taxonomy-map=15; template only
evidence-chain-map,interface-mechanism-map,review evidence bridge,performance claim | microstructure cue | curing/compatibility evidence | interface response | durability screen,paired performance data; characterization evidence; durability protocol,template only; arrows are hypotheses until matched evidence is available,Evidence chain for linking modified emulsion composition to bonding and durability claims,local caption family frequency: interface-mechanism-map=231; sanitized pattern only
interface-mechanism-boundary,interface-mechanism-map,mechanism discussion figure,emulsion droplet | epoxy curing | aggregate surface | water pathway | bonding zone,FTIR; SEM or fluorescence; rheology; pull-off or shear data,template only; mechanism arrows require experimental support,Conceptual interface mechanism and evidence boundary for waterborne epoxy modified emulsified asphalt,local caption family frequency: interface-mechanism-map=231; template only
bonding-test-method-map,test-matrix-standard,methods section overview,substrate | tack coat rate | curing condition | test mode | response metric,test standard; specimen geometry; curing protocol; replicate count,template only; cannot compare studies without harmonized conditions,Map of bonding test methods and conditions used to evaluate tack coat performance,local caption family frequency: test-matrix-standard=438; sanitized pattern only
dosage-viscosity-bonding-window,dosage-workability-window,dosage optimization review,modifier dosage | viscosity/workability | bonding strength | storage stability,dosage series; viscosity units; bonding test; storage stability index,template only; optimal dosage is conditional on construction workability,Dosage-workability-performance window for balancing bonding strength; viscosity; and storage stability,local caption family frequency: dosage-workability-window=610; template only
ftir-sem-rheology-evidence-panel,characterization-evidence-panel,mechanism evidence panel,FTIR cue | SEM/fluorescence morphology | rheology curve | interpretation boundary,raw spectra; labeled peaks; image scale bars; rheology settings,template only; single characterization method cannot prove full mechanism,Combined characterization evidence panel for chemical; morphology; and rheology cues,local caption family frequency: characterization-evidence-panel=156; sanitized pattern only
durability-retention-challenge-map,durability-retention,durability discussion summary,conditioning path | retained bonding | failure mode | reviewer challenge,pre/post property values; conditioning protocol; retention formula; failure images,template only; retention needs baseline strength and protocol details,Durability retention map comparing water; aging; freeze-thaw; and heat exposure challenges,local caption family frequency: durability-retention=65; template only
research-gap-matrix,review-taxonomy-map,review conclusion figure,high evidence | low evidence | mature tests | missing field validation,search strategy; citation clusters; evidence counts; field validation status,template only; gap strength depends on transparent literature screening,Research gap matrix separating mature laboratory evidence from missing long-term validation,local caption family frequency: review-taxonomy-map=15; sanitized pattern only
graphical-abstract-review,review-taxonomy-map,graphical abstract,problem | material design | mechanism | performance | durability | outlook,review scope; representative citations; claim hierarchy,template only; visual summary must not imply universal performance gain,Graphical abstract for a small review on waterborne epoxy modified emulsified asphalt bonding,local caption family frequency: review-taxonomy-map=15; template only
